02.07.2015                     Dynamic List Display                            1


	BELNR	GJAHR	BSTAT	MONAT	USNAM	XBLNR	BKTXT

	2100000009	 2015	V	    1	ACTA01
	2100000012	 2015	V	    1	HR001		Sureeporn K./OPD
	2100000019	 2015	V	    1	ACTA01	PV2014/10/075	Paid to RCF-PRF
	2100000027	 2015	V	    1	HR001		Etienne D./OPD
	2100000035	 2015	V	    1	ACTA01	2100003613	Paid to Prapai
	2100000055	 2015	V	    1	ACTA02		Provident Fund Oct14/RT1
	2100000056	 2015	V	    1	ACTA02		Provident Fund Oct14/RTM
	2100000060	 2015	V	    1	HR001		James B./OPD
	2100000061	 2015	V	    1	HR001		James B./OPD
	2100000062	 2015	V	    1	HR001		Panisara P./OPD
	2100000063	 2015	V	    1	HR001		Wirinya C./OPD
	2100000064	 2015	V	    1	HR001		Emily E./OPD
	2100000065	 2015	V	    1	HR001		Emily E./OPD
	2100000066	 2015	V	    1	HR001		Sa-nguan J./OPD
	2100000068	 2015	V	    1	HR001		Wacharee K./OPD
	2100000069	 2015	V	    1	HR001		Boonruen M./OPD
	2100000070	 2015	V	    1	HR001		Somying S./OPD
	2100000096	 2015	V	    3	HR001	36800	Trainee allowance forDec.
	2100000097	 2015	V	    1	ACTA01	PV2014/10/196	Paid to RECOFTC CF Acc.
	2100000098	 2015	V	    1	ACTA01	PV2014/10/197	PaidToRev.Dept,WHT/Sept14
	2100000101	 2015	V	    1	ACT003	JV2014/10/001	Transfer telepone call
	2100000102	 2015	V	    1	ACT003	JV2014/10/002	Transfer telepone call
	2100000103	 2015	V	    1	ACT003	JV2014/10/003	Transfer telepone call
	2100000104	 2015	V	    1	ACT003	JV2014/10/004	Transfer telepone call
	2100000105	 2015	V	    1	ACT003	JV2014/10/005	Transfer telepone call
	2100000106	 2015	V	    1	ACTA02	JV2014/09/310	Staff time charge for INF
	2100000128	 2015	V	    2	ACTA02		Tatcha S.New staff health
	2100000133	 2015	V	    2	ACT004	RV2014/09/058	Wrongly calculate Thai ba
	2100000138	 2015	V	    1	ACTA02		BankChg
	2100000150	 2015	V	    1	ACTA02		Telephone call Sept14
	2100000151	 2015	V	    1	ACTA02		Telephone call Sept14/PRO
	2100000154	 2015	V	    2	AAOV01	PV 1001	Operational cost 102014
	2100000155	 2015	V	    2	AAOV01	PV 2014.10/001	Communication Strategy
	2100000157	 2015	V	    1	AAOM01	OCT 2014	Operating cost CF/Oct14
	2100000158	 2015	V	    2	AAOV01	PV2014/10/002	Bank charge and interest
	2100000166	 2015	V	    2	ACTA02		Open bank acc.EU-NSA-TH
	2100000206	 2015	V	    2	AAOV01		Operational cost 1-25 Nov
	2100000214	 2015	V	    1	AAOV01		Inernal transfer
	2100000215	 2015	V	    2	ACTA02		T/F GREEN Mekong to RCF
	2100000216	 2015	V	    2	ACTA01	PV2014/11/148	T/F fromRCF-AP to RCF-PRF
	2100000217	 2015	V	    1	AAOV01		Advance to pay UNREDD
	2100000218	 2015	V	    2	AAOV01		Internal Transfer
	2100000224	 2015	V	    2	ACTA02		T/F Accom. charge
	2100000225	 2015	V	    2	ACTA02		Copy charge of Oct.2014
	2100000244	 2015	V	    2	ACTA02		Copy charge of Oct.2014
	2100000245	 2015	V	    2	ACTA02		Copy charge of Oct.2014
	2100000247	 2015	V	    2	AAOV01		Eletricity & water supply
	2100000250	 2015	V	    2	ACTA02		Telephone of Oct.14/Strat
	2100000251	 2015	V	    2	ACTA02		Telephone of Oct.14/PROCO
	2100000252	 2015	V	    2	ACTA02		Telephone of Oct.14/TCPO
	2100000257	 2015	V	    2	ACTA02		Telephone of Oct.14/FIF
	2100000260	 2015	V	    2	ACTA02	JV2014/11/06	Coppy Chg.of Oct.14/CDTS
	2100000262	 2015	V	    2	ACTA02		Telephone of Oct.14/ExO
	2100000263	 2015	V	    2	ACTA02	JV2014/11/06	Coppy Chg.of Oct.14/CDTS
	2100000265	 2015	V	    2	ACTA02		T/F Accom. Coffee brk.
	2100000266	 2015	V	    2	ACTA02		T/F Accom. charge
	2100000267	 2015	V	    2	ACTA02	JV2014/11/10	T/F Accom. Meeting R. Chg
	2100000269	 2015	V	    2	ACTA02	JV2014/11/10	T/F coffee break ELM Mtt.
	2100000270	 2015	V	    2	ACTA02	JV2014/11/17	T/F Accom. charge
	2100000279	 2015	V	    2	ACTA02	JV2014/11/06	Coppy Chg.of Oct.14/TCPO
	2100000280	 2015	V	    1	ACTA02	JV2014/10/01	Coppy Chg.of Oct.14/HR&DM
	2100000281	 2015	V	    2	ACTA02		Coppy Chg.of Oct.14/Norad
	2100000282	 2015	V	    2	ACTA02		Coppy Chg.of Oct.14/ExO
	2100000283	 2015	V	    2	ACTA02		Coppy Chg.of Oct.14/SrtCo
	2100000284	 2015	V	    2	ACTA02		Coppy Chg.of Oct.14/PROCO
	2100000295	 2015	V	    1	ACTA02		Dormitory Revenue Oct 14
	2100000296	 2015	V	    1	ACTA02	RV2014/10/22	Dormitory Revenue Oct 14
	2100000297	 2015	V	    1	ACTA02	RV2014/10/30	Dormitory Revenue Oct 14
	2100000298	 2015	V	    2	ACTA02	RV2014/11/06	Dormitory Revenue Nov 14
	2100000299	 2015	V	    2	ACTA02	RV2014/11/13	Dormitory Revenue Nov 14
	2100000300	 2015	V	    1	ACTA02	RV2014/10/16	Dormitory Revenue Oct 14
	2100000302	 2015	V	    3	ACTA02		Telephone of Oct.14/HR&DM
	2100000323	 2015	V	    3	ACTA02		Telephone of Oct.14/Finn
	2100000328	 2015	V	    2	AAOV01		internal transfer
	2100000329	 2015	V	    2	AAOV01		internal transfer
	2100000340	 2015	V	    2	AAOV01		Bank charge and Interest
	2100000341	 2015	V	    2	AAOV01		Internet fee October
	2100000342	 2015	V	    3	ACT002		Accrued printing for FAD
	2100000345	 2015	V	    3	ACTA02		Petty cash reimbursement
	2100000346	 2015	V	    2	ACTA02		For open current acc EU-N
	2100000349	 2015	V	    3	ACTA02	JV2014/12/15	Coppy charge of Nov/PROCO
	2100000350	 2015	V	    3	ACTA02	JV2014/12/15	Coppy charge of Nov/Forin
	2100000351	 2015	V	    2	ACTA02	JV2014/11/06	Coppy charge of Nov/ExO
	2100000352	 2015	V	    3	ACTA02	JV2014/12/12	Coppy charge of Nov/StrCo
	2100000355	 2015	V	    3	ACTA02		Coppy charge of Nov/CDTS
	2100000366	 2015	V	    2	ACTA02	JV2014/11/10	T/F Accomm. ELM meeting
	2100000367	 2015	V	    3	ACTA02	JV2014/12/15	Coppy charge of Nov/CDTS
	2100000370	 2015	V	    2	AAOM01	NOV 2014	Operating cost CF/ Nov 14
	2100000375	 2015	V	    3	ACTA02		T/F Accomm. Mr.Binod
	2100000378	 2015	V	    3	ACTA01	PV2014/12/113	Paid to RECOFTC-AP (New)
	2100000379	 2015	V	    3	ACTA01	PV2014/12/114	Paid to RECOFTC-ForInFo
	2100000382	 2015	V	    3	ACTA02	JV2014/12/15	Coppy charge of Nov/TCPO
	2100000385	 2015	V	    1	ACT002		Administrative fee-Oct'14
	2100000405	 2015	V	    3	ACTA01	PV2014/12/171	Paid to RECOFTC CF Acc.
	2100000406	 2015	V	    3	AAOI01		Settlement ICP in Oct 14
	2100000409	 2015	V	    3	ACTA02		Telephone call charge/Str
	2100000411	 2015	V	    3	ACTA02		Telephone call chg./CDTS
	2100000413	 2015	V	    3	AAOV01		Operation cost December
	2100000416	 2015	V	    3	ACTA02		Dorm Revenue 16/12/14
	2100000424	 2015	V	    3	ACTA02		Telephone Chg.,Nov14/ExO
	2100000442	 2015	V	    3	ACTA02		Close bank account SiamCo
	2100000452	 2015	V	    3	ACTA02		Telephone Chg.,Nov14/CDTS
	2100000461	 2015	V	    3	AAOV01	RCF USD 112014	Bank charge
	2100000462	 2015	V	    3	AAOV01	RCF USD 112014	Deposit Interest
	2100000464	 2015	V	    3	AAOV01	RCF VND 112014	Bank charge
	2100000465	 2015	V	    3	AAOV01	RCF VND 112014	Deposit Interest
	2100000468	 2015	V	    3	AAOV01	CF VND 112014
	2100000470	 2015	V	    4	ACTA02		Telephone Chg.,Nov14
	2100000471	 2015	V	    4	AAOV01		Operation cost December
	2100000472	 2015	V	    4	AAOV01		Operation cost December
	2100000473	 2015	V	    4	ACTA02		Telephone Chg.,Nov14/PROC
	2100000474	 2015	V	    2	ACTA02	RV2014/11/20	Dormitory Rev.20 Nov.14
	2100000475	 2015	V	    2	ACTA02	RV2014/11/28	Dormitory Rev.28 Nov.14
	2100000476	 2015	V	    3	ACTA02	RV2014/12/09	Dormitory Rev.9 Dec.14
	2100000477	 2015	V	    3	ACTA02	RV2014/12/23	Dormitory Rev.23 Dec.14
	2100000478	 2015	V	    3	ACTA02	RV2014/12/30	Dormitory Rev.30 Dec.14
	2100000482	 2015	V	    3	ACTA02		Dormitory Revenue Report
	2100000483	 2015	V	    1	ACTA02		Dormitory Revenue Report
	2100000487	 2015	V	    4	AAOV01		Cash on hand/Cash withdra
	2100000500	 2015	V	    3	ACTA02		Dec14 staff Time for GREE
	2100000501	 2015	V	    4	ACTA02		Copy Chg. of Dec 14
	2100000502	 2015	V	    4	ACTA02		Copy Chg. of Dec14/Forinf
	2100000503	 2015	V	    4	ACTA02		Copy Chg. of Dec14/PROCO
	2100000504	 2015	V	    4	ACTA02		Copy Chg. of Dec14/CDTS
	2100000505	 2015	V	    4	ACTA02		Copy Chg. of Dec14/HR&DM
	2100000506	 2015	V	    4	ACTA02		Copy Chg. of Dec14/StratC
	2100000507	 2015	V	    4	ACTA02		Copy Chg. of Dec14/CDTS
	2100000508	 2015	V	    4	ACTA02		Copy Chg. of Dec14/CDTS
	2100000509	 2015	V	    4	ACTA02		Telephone Chg.,Dec14/PROC
	2100000512	 2015	V	    4	ACTA02		Copy Chg. of Dec14/ExO
	2100000513	 2015	V	    4	ACTA02		Telephone Chg.,Dec14/ExO
	2100000514	 2015	V	    2	ACTA02		Copy Chg. of Oct.14/EEP
	2100000515	 2015	V	    3	ACTA02		Copy Chg. of Nov.14/EEP
	2100000516	 2015	V	    4	ACTA02		Copy Chg. of Dec.14/EEP
	2100000519	 2015	V	    4	ACTA02		Staff time charge
	2100000520	 2015	V	    2	ACTA02		Wonachareon Area rental
	2100000521	 2015	V	    2	ACTA02	RV2014/11/13	USAID/Reimbur'st - Sep'14
	2100000522	 2015	V	    2	ACTA02		CrsFee Landscape Function
	2100000523	 2015	V	    2	ACTA02		BankCh Landscape Function
	2100000524	 2015	V	    1	ACTA02	JV2014/10/02	Souvenir for Buriphan
	2100000525	 2015	V	    4	ACTA02		Stationery T/F for CDTS
	2100000526	 2015	V	    2	ACTA02		First Installment/AECOM I
	2100000527	 2015	V	    4	ACTA02		Stationery T/F for CDTS
	2100000528	 2015	V	    4	ACTA02		PROCO T/F Stationery
	2100000529	 2015	V	    4	ACTA02		PROCO T/F Stationery
	2100000530	 2015	V	    4	ACTA02		PROCO T/F Stationery
	2100000531	 2015	V	    1	ACTA02		Interest Income Oct14
	2100000534	 2015	V	    2	ACTA02		Interest Income Nov14
	2100000536	 2015	V	    1	ACTA02		RECOFTC Backpack
	2100000537	 2015	V	    1	ACTA02		T-Shirt white
	2100000570	 2015	V	    4	ACTA02	RV2014/01/08	Dormitory Revenue 8Jan.14
	2100000576	 2015	V	    4	AAOV01		Cash withdrawal
	2100000577	 2015	V	    4	ACTA02		Staff time charge CCR
	2100000578	 2015	V	    4	AAOV01		Expenses for Demon Site
	2100000579	 2015	V	    4	AAOV01	INVOICE 96930076	Air fare
	2100000580	 2015	V	    4	AAOV01	INVOICE 96930077	Bank charge
	2100000581	 2015	V	    4	AAOV01	INVOICE 96930073	Car rental
	2100000582	 2015	V	    4	AAOV01	INVOICE 96930075	Bank charge
	2100000586	 2015	V	    1	AAOV01		Advance from Bangkok
	2100000587	 2015	V	    2	AAOV01		Salary to VCP staff
	2100000588	 2015	V	    2	AAOV01		Social Security
	2100000589	 2015	V	    2	AAOV01
	2100000590	 2015	V	    2	AAOV01		Social Security
	2100000595	 2015	V	    2	AAOV01		Advance from Bangkok
	2100000607	 2015	V	    3	AAOV01		Advance for MA & D
	2100000608	 2015	V	    4	ACTA02		Honorarium for filing Doc
	2100000618	 2015	V	    4	AAOV01		Cash withdrawal
	2100000626	 2015	V	    4	ACTA02		Copy charge/TCPO
	2100000627	 2015	V	    4	ACTA02		Copy charge/NORAD
	2100000628	 2015	V	    4	ACTA02		Copy charge/Somaya
	2100000631	 2015	V	    3	AAOV01		Cash withdrawal
	2100000633	 2015	V	    3	AAOV01		Expenses in October 14
	2100000634	 2015	V	    3	AAOV01		Expenses paid November 14
	2100000637	 2015	V	    3	AAOV01		Expenses in December 14
	2100000638	 2015	V	    4	AAOV01		Expenses in January 15
	2100000639	 2015	V	    3	AAOV01		Clear advance
	2100000640	 2015	V	    4	AAOV01		Clear advance
	2100000644	 2015	V	    4	ACTA02		CDTS Internal T/F
	2100000645	 2015	V	    4	ACTA02		CDTS Internal T/F
	2100000646	 2015	V	    1	ACTA02	RV2014/10/16	Dormitory Revenue Report
	2100000650	 2015	V	    1	ACTA02	RV2014/10/22	Dormitory Revenue Report
	2100000651	 2015	V	    1	ACTA02	RV2014/10/30	Dormitory Revenue Report
	2100000652	 2015	V	    2	ACTA02	RV2014/11/06	Dormitory Revenue Report
	2100000655	 2015	V	    4	ACTA02	RV2015/01/07	FAO/MGI Final payment
	2100000656	 2015	V	    4	ACTA02	RV2015/01/07	Bank Charge FAO Transfer
	2100000657	 2015	V	    2	ACTA02		Bank Charge First payment
	2100000659	 2015	V	    2	ACTA02	RV2014/11/13	Dormitory Revenue Report
	2100000660	 2015	V	    2	ACTA02	RV2014/11/20	Dormitory Revenue Report
	2100000661	 2015	V	    2	ACTA02	RV2014/11/28	Dormitory Revenue Report
	2100000662	 2015	V	    3	ACTA02	RV2014/12/09	Dormitory Revenue Report
	2100000663	 2015	V	    4	AAOV01		Operational cost January
	2100000664	 2015	V	    3	ACTA02	RV2014/12/23	Dormitory Revenue Report
	2100000665	 2015	V	    3	ACTA02	RV2014/12/30	Dormitory Revenue Report
	2100000671	 2015	V	    4	ACTA02		Telephone charge/PCPO
	2100000674	 2015	V	    3	ACTA02		Copy charge of Nov./NORAD
	2100000675	 2015	V	    4	ACTA02		Dormitory Revenue Report
	2100000676	 2015	V	    4	ACTA02		Dormitory Revenue Report
	2100000677	 2015	V	    4	ACTA02		Telephone charge/StratCom
	2100000678	 2015	V	    4	ACTA02		Telephone charge/ExO
	2100000680	 2015	V	    4	ACTA02		Telephone charge/HR$Dorm
	2100000682	 2015	V	    4	ACTA02		Office supply  T/F
	2100000720	 2015	V	    4	ACTA02		Telephone charge/CDTS
	2100000722	 2015	V	    4	ACTA02		Telephone charge/Forinfo
	2100000723	 2015	V	    4	AAOV01	INVOICE 0158423	Year-end party
	2100000729	 2015	V	    4	AAOV01		Operational cost January
	2100000731	 2015	V	    4	AAOV01		Advance received
	2100000732	 2015	V	    5	ACTA02		Telephone charge/TCPO
	2100000733	 2015	V	    5	ACTA02		Postage & mailing charge
	2100000734	 2015	V	    4	AAOV01		Advance received
	2100000735	 2015	V	    4	AAOV01		Advance received
	2100000736	 2015	V	    4	AAOV01		Advance received
	2100000737	 2015	V	    5	AAOV01	INVOICE96930035	Cash withdrawal
	2100000738	 2015	V	    5	AAOV01		Expenese of CF network
	2100000739	 2015	V	    5	ACTA02		Postage charge/CDTS
	2100000745	 2015	V	    1	ACTA02		Copy charge/EEP
	2100000757	 2015	V	    5	ACTA02		Postage charge/StratCom
	2100000758	 2015	V	    4	ACTA02		Telephone charge/ASFN
	2100000759	 2015	V	    5	ACTA02		Postage charge/StratCom
	2100000762	 2015	V	    3	AAOM01	DEC 2014	Operating cost CF/ Dec 14
	2100000766	 2015	V	    5	AAOV01		Honorarium for Consultant
	2100000767	 2015	V	    5	ACTA02		Postage charge/Forinfo
	2100000768	 2015	V	    5	ACTA02		Postage charge/StratCom
	2100000769	 2015	V	    5	ACTA02		Postage charge/CDTS
	2100000770	 2015	V	    5	ACTA02		Postage charge/CS
	2100000771	 2015	V	    5	ACTA02		Postage charge/ExO
	2100000772	 2015	V	    4	ACTA02		Dormitory revenue
	2100000773	 2015	V	    5	ACTA02		Dormitory revenue
	2100000783	 2015	V	    5	ACTA02		Telephone charge/CDTS
	2100000785	 2015	V	    4	ACTA02	JV2015/01/30	Staff time charge
	2100000800	 2015	V	    3	ACTA02	RV2014/12/11	BnkCFinland Fund Received
	2100000801	 2015	V	    3	ACTA02	RV2014/12/11	Thai budget for year 2014
	2100000802	 2015	V	    3	ACTA02	RV2014/12/16	BankChg Sweden fund
	2100000804	 2015	V	    3	ACTA02	RV2014/12/17	Swiss Coop.fund received
	2100000805	 2015	V	    3	ACTA02	RV2014/12/17	BankChg Swiss Coop.fund
	2100000806	 2015	V	    3	ACTA02	RV2014/12/29	Green Mekong Reim.
	2100000807	 2015	V	    3	ACTA02	PV2014/12/01	Swiss Coop.fund received
	2100000808	 2015	V	    3	ACTA02	PV2014/12/01	BnkChg Swiss Coop.fund
	2100000813	 2015	V	    4	ACTA02	RV2015/01/09	Received charge,Oct.,Nov.
	2100000814	 2015	V	    4	ACTA02	RV2015/01/05	FAO fund received
	2100000815	 2015	V	    4	ACTA02	RV2015/01/05	FAO fund received fee
	2100000816	 2015	V	    4	ACTA02		FAO fund received
	2100000817	 2015	V	    4	ACTA02		FAO fund received fee
	2100000823	 2015	V	    4	ACTA02		LELUP Cost T/F
	2100000824	 2015	V	    5	ACTA02		Telephone charge/PROCO
	2100000825	 2015	V	    5	ACTA02		Copy charge/CDTS
	2100000826	 2015	V	    5	ACTA02		Copy charge/StratCom
	2100000827	 2015	V	    5	ACTA02		Copy charge/Finace
	2100000828	 2015	V	    5	ACTA02		Postage charge/Forinfo
	2100000830	 2015	V	    5	ACTA02		Postage charge/PROCO
	2100000831	 2015	V	    5	ACTA02		Postage charge/CDTS
	2100000833	 2015	V	    5	ACTA02		Postage charge/ExO
	2100000834	 2015	V	    5	ACTA02		Postage charge/StratCom
	2100000835	 2015	V	    1	ACTA02	RV2014/10/15	Reimbur'st K.Tint TFD Fie
	2100000836	 2015	V	    1	ACTA02	RV2014/10/15	Reimbur'st K.Tint TFD Fie
	2100000837	 2015	V	    5	ACTA02		Postage charge/PROCO
	2100000838	 2015	V	    5	ACTA02		Postage charge/GreenMekon
	2100000839	 2015	V	    5	ACTA02		Postage charge/GreenMekon
	2100000840	 2015	V	    5	ACTA02		Postage charge/ASFN
	2100000841	 2015	V	    5	ACTA02		Postage charge/CDTS
	2100000842	 2015	V	    5	ACTA02		Postage charge/HR
	2100000843	 2015	V	    5	ACTA02		Postage charge/TCP
	2100000844	 2015	V	    5	ACTA02		Meeting room T/F
	2100000863	 2015	V	    1	ACT002		Stamp duties - Oct'14
	2100000894	 2015	V	    1	AAOI01	PV201410	Operating Cost sept 14
	2100000917	 2015	V	    1	ACTA02	RV2014/10/30	RRI for RRH Final payment
	2100000918	 2015	V	    1	ACTA02	RV2014/10/30	Bank Charge RRH Final pay
	2100000919	 2015	V	    1	ACTA02	RV2014/10/27	First payment/The Nature
	2100000920	 2015	V	    1	ACTA02	RV2014/10/27	Bank Charge RAF-First pay
	2100000931	 2015	V	    3	ACT002	RV2014/12/11	Finland Fund Received
	2100000932	 2015	V	    3	ACT002	RV2014/12/16	SIDA Support Implementati
	2100000935	 2015	V	    5	ACTA02		Copy charge/TCPO
	2100000936	 2015	V	    5	ACTA02		Copy charge/Green Mekong
	2100000937	 2015	V	    5	ACTA02		Copy charge/ExO
	2100000938	 2015	V	    5	ACTA02		Copy charge/Forinfo
	2100000939	 2015	V	    5	ACTA02		Copy charge/EEP
	2100000940	 2015	V	    5	ACTA02		Copy charge/HR&Dorm
	2100000959	 2015	V	    5	ACTA02		Postage charge/Finance
	2100000963	 2015	V	    5	ACTA02		Postage charge/Finance
	2100000971	 2015	V	    5	ACTA01	PV2015/02/215	Paid to RECOFTC-CF
	2100000973	 2015	V	    5	ACTA02		Telephone charge/StratCom
	2100000974	 2015	V	    5	ACTA02		A4 Paper for StratCom
	2100000976	 2015	V	    5	ACTA02		T/F Backpack cost
